date,day_of_week,time,hour,minute,direction,destination,stop_order,stop_name,stop_coef,peak,sample_id,observed_passengers,travel_time_min
2025-08-18,Monday,06:10,6,10,to Pulo Gadung,Pulo Gadung,16,Pulo Gadung,1.7,0,1,16,7
2025-08-24,Sunday,18:00,18,0,to Monas,Monas,20,Monas,1.8,1,1,17,10
2025-08-19,Tuesday,11:20,11,20,to Monas,Monas,18,Juanda,2,0,1,39,10
2025-08-19,Tuesday,14:00,14,0,to Pulo Gadung,Pulo Gadung,14,Pulomas,2,0,1,15,7
2025-08-22,Friday,20:10,20,10,to Pulo Gadung,Pulo Gadung,16,Pulo Gadung,1.7,0,2,17,10
2025-08-24,Sunday,19:50,19,50,to Monas,Monas,1,Pulo Gadung,1.7,1,2,24,9
2025-08-19,Tuesday,21:50,21,50,to Pulo Gadung,Pulo Gadung,11,Cempaka Mas,1.6,0,1,19,8
2025-08-24,Sunday,16:30,16,30,to Monas,Monas,18,Juanda,2,1,1,20,10
2025-08-20,Wednesday,12:40,12,40,to Pulo Gadung,Pulo Gadung,6,Galur,2,0,2,20,9
2025-08-22,Friday,12:30,12,30,to Monas,Monas,1,Pulo Gadung,1.7,0,3,18,10
2025-08-22,Friday,10:40,10,40,to Pulo Gadung,Pulo Gadung,14,Pulomas,2,0,1,26,7
2025-08-21,Thursday,08:10,8,10,to Monas,Monas,6,Cempaka Mas,1.6,1,2,24,5
2025-08-24,Sunday,05:20,5,20,to Pulo Gadung,Pulo Gadung,4,Kwitang,1.4,0,2,5,7
2025-08-23,Saturday,12:10,12,10,to Pulo Gadung,Pulo Gadung,12,Pedongkelan,1.2,0,1,13,6
2025-08-18,Monday,05:10,5,10,to Monas,Monas,20,Monas,1.8,0,2,13,7
2025-08-24,Sunday,10:50,10,50,to Pulo Gadung,Pulo Gadung,1,Monas,1.8,0,2,26,10
2025-08-24,Sunday,19:10,19,10,to Pulo Gadung,Pulo Gadung,4,Kwitang,1.4,1,1,33,10
2025-08-18,Monday,18:20,18,20,to Monas,Monas,13,Senen Raya,1.5,1,1,19,9
2025-08-18,Monday,09:50,9,50,to Monas,Monas,3,Pulomas,2,1,1,38,8
2025-08-18,Monday,14:20,14,20,to Monas,Monas,18,Juanda,2,0,1,11,6
2025-08-21,Thursday,19:50,19,50,to Pulo Gadung,Pulo Gadung,5,Pasar Senen,1.6,1,2,33,5
2025-08-24,Sunday,05:10,5,10,to Pulo Gadung,Pulo Gadung,7,Rawa Selatan,1.4,0,1,8,7
2025-08-20,Wednesday,14:20,14,20,to Monas,Monas,10,Rawa Selatan,1.4,0,1,6,7
2025-08-21,Thursday,08:10,8,10,to Monas,Monas,14,RSPAD,1.3,1,1,29,6
